,DM hlswan if smthing is wrong,,,,,,,MINECRAFT 1.16+ RSG ANY% SUB-10 LEADERBOARD,,,,,,,,,OVERWORLD,,,,,FIRST STRUCTURE,,,,,SECOND STRUCTURE,,,,BLAZE RATES,,,,S2-E1,ALL RODS?,NETHER EXITS,OVERWORLD II,,,,,,,,,,,THEOR BLIND,NETHER SPLIT,TOTAL NETHER,TOTAL OW2,POST BLIND,STRUC2 TO FINISH,STRUC2 EX TO SH,STRONGHOLD,,,FRAMES FILLED,THE END,,,,,,,,,,,,Bastion Information,,,,Barter/Chest Loot Information,,,,,,TIMELOSS
,last updated 2/17/26,,,,,WR,PB,,,,,,,,,,TYPE,,PORTAL,NETHER,NE-S1,ENTER,TYPE,SPLIT,EXIT,S1-S2,ENTER,TYPE,SPLIT,EXIT,,DROPPED,KILLED,DECIMAL,,,,EXIT 1,TYPE,TRIANG,THROWN,BREAK,LEFT,T LOSS,REENTER,TO 2ND,DIST,EXIT 2,,,,,,,,ENTER,STRAT,SPLIT,,ENTER,STRAT,X USED,ZERO XPLOSIVES,PERCH XPLOSIVES,CG,NODE,TH,TOWER,SH,SPLIT,CREDITS,TYPE,ROUTE,CC,INFO,Obi,String,Glowst,Arrows,Pearls,Cobi,
,29,-,,🇩🇰,Bloopy,,✔,7:35.809,7:38.482,28 Nov 2024,(V),-7640184333545180122,,Yes,https://www.speedrun.com/mc/runs/zxj96rqy,,,,,,,,,,,,,,,,,,,,0:00,,,,,0:00,,,,,,0:00,,,0:00,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,-,,🇳🇴,skycrab1,,🗙,7:39.667,7:39.667,08 Mar 2026,(U),488777781406333665,,,https://www.youtube.com/watch?v=bCf8wapBEIU,,,,,,,,,,,,,,,,,,,,0:00,,,,,0:00,,,,,,0:00,,,0:00,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31,18,🇺🇸,Infume,,,✔,7:39.778,7:39.778,06 Jun 2025,(Q),-8467677866844055286,,,https://www.youtube.com/watch?v=UnKMvsVNbYU,,,,,,,,,,,,,,,,,,,,0:00,,,,,0:00,,,,,,0:00,,,0:00,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,32,-,,🇺🇸,doogile,,🗙,7:38.813,7:40.190,19 Oct 2025,(U),-6371149676202072948,,Yes,https://www.youtube.com/watch?v=HUv4d3f0b0Y,,,,,,,,,,,,,,,,,,,,0:00,,,,,0:00,,,,,,0:00,,,0:00,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,-,,🇳🇴,skycrab1,,🗙,7:39.953,7:41.343,19 Dec 2025,(U),9053135870907266934,,Yes,https://www.youtube.com/watch?v=9YRVwmSP0e4&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=162,,,,,,,,,,,,,,,,,,,,0:00,,,,,0:00,,,,,,0:00,,,0:00,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,34,19,🇹🇿,Kxpow,,,✔,7:41.490,7:41.490,05 Oct 2025,(V),3413784149860051440,,Yes,https://www.speedrun.com/mc/runs/y2rqdr6m,,,,,,,,,,,,,,,,,,,,0:00,,,,,0:00,,,,,,0:00,,,0:00,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35,20,🇬🇧,priffie,,,✔,7:43.529,7:43.909,24 Oct 2024,(V),-3978494106932821584,,Yes,https://www.speedrun.com/mc/runs/y6e87kpz,,,,,,,,,,,,,,,,,,,,0:00,,,,,0:00,,,,,,0:00,,,0:00,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,36,21,🇸🇪,PAPLERR,,,🗙,7:45.368,7:45.368,15 May 2025,(V),2933743551005337304,,Yes,https://www.speedrun.com/mc/runs/zngk8olm,,,,,,,,,,,,,,,,,,,,0:00,,,,,0:00,,,,,,0:00,,,0:00,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,37,22,🇫🇷,M4xx,,,✔,7:45.390,7:45.390,04 Mar 2026,(Q),805412740251903790,,,https://www.youtube.com/watch?v=dBMHGH7DJCc,,,,,,,,,,,,,,,,,,,,0:00,,,,,0:00,,,,,,0:00,,,0:00,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38,23,🇹🇷,Ancoboy,,,✔,7:40.016,7:45.590,11 Dec 2025,(Q),unknown,,,https://www.youtube.com/watch?v=cFhBNA3Khpg&list=PLNlBsWHYU3zCJ5XoAac-T3YF54AvqfXXn&index=42,,,,,,,,,,,,,,,,,,,,0:00,,,,,0:00,,,,,,0:00,,,0:00,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
