,DM hlswan if smthing is wrong,,,,,,,MINECRAFT 1.16+ RSG ANY% SUB-10 LEADERBOARD,,,,,,,,,OVERWORLD,,,,,FIRST STRUCTURE,,,,,SECOND STRUCTURE,,,,BLAZE RATES,,,,S2-E1,ALL RODS?,NETHER EXITS,OVERWORLD II,,,,,,,,,,,THEOR BLIND,NETHER SPLIT,TOTAL NETHER,TOTAL OW2,POST BLIND,STRUC2 TO FINISH,STRUC2 EX TO SH,STRONGHOLD,,,FRAMES FILLED,THE END,,,,,,,,,,,,Bastion Information,,,,Barter/Chest Loot Information,,,,,,TIMELOSS
,last updated 2/17/26,,,,,WR,PB,,,,,,,,,,TYPE,,PORTAL,NETHER,NE-S1,ENTER,TYPE,SPLIT,EXIT,S1-S2,ENTER,TYPE,SPLIT,EXIT,,DROPPED,KILLED,DECIMAL,,,,EXIT 1,TYPE,TRIANG,THROWN,BREAK,LEFT,T LOSS,REENTER,TO 2ND,DIST,EXIT 2,,,,,,,,ENTER,STRAT,SPLIT,,ENTER,STRAT,X USED,ZERO XPLOSIVES,PERCH XPLOSIVES,CG,NODE,TH,TOWER,SH,SPLIT,CREDITS,TYPE,ROUTE,CC,INFO,Obi,String,Glowst,Arrows,Pearls,Cobi,
,245,-,,🇵🇱,watermelon1708,,🗙,8:59.859,9:01.423,25 Dec 2025,(U),see video,,,https://www.youtube.com/watch?v=cE3J7k4Sshc,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,246,-,,🇵🇱,watermelon1708,,🗙,8:57.165,9:01.510,21 Oct 2025,(U),unknown,,,https://www.youtube.com/watch?v=bgofOfS1s1A,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,247,-,,🇳🇴,skycrab1,,🗙,9:01.581,9:01.581,24 Oct 2024,(U),5396784990910154852,,,https://www.youtube.com/watch?v=7QvmYogun44&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=88,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,248,-,,🇨🇦,NoHacsJustRoblox,,🗙,9:00.675,9:01.646,03 Sep 2024,(U),7108735323901756884,,,https://www.youtube.com/watch?v=1F8ZBRB354Y,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,249,-,,🇳🇴,skycrab1,,🗙,9:01.851,9:01.851,06 Oct 2024,,5584430862827466527,,,https://www.youtube.com/watch?v=XLXBEG_9Z2M&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=76,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,250,-,,🇺🇸,doogile,,🗙,9:01.361,9:01.856,17 Mar 2024,(U),-423824187334230143,,,https://www.youtube.com/watch?v=9aJOIrN2g-A,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,251,-,,🇳🇴,skycrab1,,🗙,9:02.423,9:02.423,30 Aug 2024,(U),3049901205395221348,,,https://www.youtube.com/watch?v=PPXIiFSl4dc&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=62,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,252,-,,🇸🇰,NoFear1337,,🗙,9:02.402,9:02.859,30 Jun 2025,(U),unknown,,,https://www.youtube.com/watch?v=6HhUuitsxGs,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,253,-,,🇩🇰,Bloopy,,✔,9:02.325,9:02.890,20 Jul 2024,(U),-3162138013269904068,,,https://www.youtube.com/watch?v=LQVoVG-qCYo,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,254,-,,🇩🇰,Bloopy,,✔,9:03.208,9:03.208,09 Mar 2024,(V),327741930004183264,,,https://www.speedrun.com/mc/runs/zq8w755z,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,255,-,,🇨🇦,Aquacorde,,🗙,9:03.483,9:03.483,15 Jul 2025,(U),3586604150107286256,,,https://www.youtube.com/watch?v=HlKgDCEfr1M,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,256,-,,🇺🇸,doogile,,🗙,8:58.672,9:04.680,20 Oct 2023,(U),5170768254742346902,,,https://www.youtube.com/watch?v=nX477DDwCp4,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,257,-,,🇳🇴,skycrab1,,🗙,9:03.846,9:05.167,01 Dec 2023,(U),5228422525265565557,,,https://www.youtube.com/watch?v=Qe_QUpUyPbc&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=5,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,258,-,,🇺🇸,doogile,,🗙,9:03.653,9:05.189,03 Jul 2024,(U),-1944357644516820181,,,https://www.youtube.com/watch?v=2PrVhqKEWwk,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,259,-,,🇨🇦,Jay12310,,🗙,9:05.451,9:05.451,16 Mar 2024,(U),see video,,,https://www.youtube.com/watch?v=ivDOaiqp9jM&list=PLaTJSsRuu2UcsiC6KEkJwrGp1GaGgPoVG&index=2,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,260,-,,🇺🇸,doogile,,🗙,9:05.184,9:05.845,06 Nov 2023,(U),5873759299326194645,,,https://www.youtube.com/watch?v=5MtswX7IfB4,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,261,-,,🇳🇴,skycrab1,,🗙,9:04.821,9:06.518,16 Oct 2024,(U),1509054890108880200,,,https://www.youtube.com/watch?v=o2BhtRPoBl8&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=83,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,262,-,,🇳🇴,skycrab1,,🗙,9:07.149,9:07.149,10 Oct 2024,(U),-1175900086044057204,,,https://www.youtube.com/watch?v=A-29KTnAD2I&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=82,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,263,-,,🇳🇴,skycrab1,,🗙,9:07.112,9:07.112,28 Apr 2025,(U),unknown,,,https://www.youtube.com/watch?v=o710MyvzZRc&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=117,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,264,-,,🇳🇴,skycrab1,,🗙,9:07.485,9:07.485,08 Feb 2025,(U),3737533492080781915,,,https://www.youtube.com/watch?v=vIyLdcMlpzU&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=116,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,265,-,,🇳🇴,skycrab1,,🗙,9:07.893,9:07.893,16 Nov 2024,(U),3572344265609154792,,,https://www.youtube.com/watch?v=GB4EvDhnAj0&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=94,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,266,-,,🇺🇸,doogile,,🗙,9:07.950,9:07.950,16 Aug 2024,(U),unknown,,,https://www.youtube.com/watch?v=rVh_EFcoA_Q,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,267,-,,🇳🇴,skycrab1,,🗙,9:02.208,9:08.108,24 Aug 2024,(U),8200471492953039268,,,https://www.youtube.com/watch?v=7kCryLBekaY&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=59,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,268,-,,🇳🇴,skycrab1,,🗙,9:08.173,9:08.173,22 Jul 2025,(U),unknown,,,https://www.youtube.com/watch?v=ywxlACuqAe0&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=137,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,269,-,,🇧🇪,boyenn,,🗙,9:08.407,9:08.407,09 Mar 2025,(U),unknown,,,https://www.youtube.com/watch?v=PIdpIYU0iN8,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,270,-,,🇸🇰,NoFear1337,,🗙,9:08.371,9:08.421,08 Jun 2023,(U),unknown,,,https://www.youtube.com/watch?v=IffgSK8FXyU,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,271,-,,🇨🇦,Aquacorde,,🗙,9:08.473,9:08.473,17 Jul 2025,(U),-4757456621971521047,,,https://www.youtube.com/watch?v=3NgUon3iBFM,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,272,-,,🇸🇰,NoFear1337,,🗙,9:05.980,9:08.551,02 Feb 2024,(U),unknown,,,https://www.youtube.com/watch?v=4fdVhFGeQgo&list=PLaTJSsRuu2UeeWabBBfNVWALvnefBoL2C&index=5,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,273,-,,🇮🇹,drip120,,🗙,9:07.364,9:08.692,01 Nov 2025,(U),unknown,,,https://www.youtube.com/watch?v=xe-spdcY7jk,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,274,-,,🇺🇸,doogile,,🗙,9:08.808,9:08.808,22 May 2025,(U),7495631434322162088,,,https://www.youtube.com/watch?v=p9ACbnS-GcQ,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,275,-,,🇫🇮,Cube1337x,✔,✔,9:06.178,9:08.820,22 Jan 2022,(V),5182416045755256460,,,https://www.speedrun.com/mc/runs/mr673jdm,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,276,-,,🇳🇴,skycrab1,,🗙,9:09.076,9:09.076,26 Nov 2024,(U),9146773889861471357,,,https://www.youtube.com/watch?v=YABLZ52h9Ug&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=98,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,277,-,,🇳🇴,skycrab1,,🗙,9:02.533,9:09.719,10 Apr 2024,(U),unknown,,,https://www.youtube.com/watch?v=s7Oyw0cBsDM&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=14,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,278,-,,🇺🇸,doogile,,🗙,9:08.362,9:09.903,03 Feb 2024,(U),4060064418388945747,,,https://www.youtube.com/watch?v=z1xyWdGMjq8,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,279,-,,🇸🇰,NoFear1337,,🗙,9:09.128,9:10.259,08 Jun 2025,(U),unknown,,,https://www.youtube.com/watch?v=SiADDCUpd7E,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,280,-,,🇺🇸,doogile,,🗙,9:07.746,9:10.622,05 Nov 2023,(U),1666689678537156689,,,https://www.youtube.com/watch?v=VZnZzz2vZfk,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,281,-,,🇳🇴,skycrab1,,🗙,9:09.863,9:10.809,08 Mar 2024,(U),unknown,,,https://www.youtube.com/watch?v=LhLJ0UepT94&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=11,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,282,-,,🇳🇴,skycrab1,,🗙,9:10.726,9:11.397,13 Jun 2024,(U),-8879598757614006862,,,https://www.youtube.com/watch?v=cIcsjmes9iM&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=29,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,283,-,,🇳🇴,skycrab1,,🗙,9:11.051,9:11.608,20 Sep 2025,(U),unknown,,,https://www.youtube.com/watch?v=jITLzyt8gXQ&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=141,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,284,-,,🇳🇴,skycrab1,,🗙,9:11.538,9:11.538,19 Dec 2025,(U),unknown,,,https://www.youtube.com/watch?v=cGZBFX1-arU&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=160,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,285,-,,🇳🇴,skycrab1,,🗙,9:11.308,9:12.058,19 Dec 2025,(U),see video,,,https://www.youtube.com/watch?v=Z1rqujzYKV8&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=159,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,286,-,,🇮🇹,drip120,,🗙,9:10.678,9:12.062,29 Aug 2024,(U),unknown,,,https://www.youtube.com/watch?v=LSRuTRyAUfA,,,,   ,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,287,-,,🇳🇴,skycrab1,,🗙,9:11.847,9:13.147,18 Feb 2024,(U),unknown,,,https://www.youtube.com/watch?v=kFt_4d61onA&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=10,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,288,-,,🇺🇸,doogile,,🗙,9:13.305,9:13.305,18 May 2025,(U),5319889205923870675,,,https://www.youtube.com/watch?v=ztGEXhDZfOU,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,289,-,,🇨🇦,Aquacorde,,✔,9:13.730,9:13.730,02 May 2023,(V),1132467978693802935,,,https://www.speedrun.com/mc/runs/z5poxedm,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,290,-,,🇸🇰,NoFear1337,,🗙,9:10.602,9:13.999,04 Jul 2025,(U),unknown,,,https://www.youtube.com/watch?v=yNwHcISAArA,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,291,-,,🇳🇴,skycrab1,,🗙,9:10.467,9:14.159,20 Sep 2025,(U),unknown,,,https://www.youtube.com/watch?v=OEZzZLeynP0&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=139,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,292,-,,🇳🇴,skycrab1,,🗙,9:13.279,9:14.255,15 Feb 2024,(U),unknown,,,https://www.youtube.com/watch?v=WLjCJKEsbRU&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=9,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,293,-,,🇳🇴,skycrab1,,🗙,9:12.682,9:14.598,17 Aug 2024,(U),-7884786286742246917,,,https://www.youtube.com/watch?v=AzF0dGCk1Ow&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=56,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,294,-,,🇵🇱,watermelon1708,,🗙,9:12.401,9:14.662,24 Jul 2025,(U),unknown,,,https://www.youtube.com/watch?v=4QYqWY63NSU,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,295,-,,🇺🇸,doogile,,🗙,9:14.024,9:14.498,29 Jan 2024,(U),6589962244023862742,,,https://www.youtube.com/watch?v=-hzOpmkTbDU,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,296,-,,🇺🇸,doogile,,🗙,9:14.533,9:15.162,26 Apr 2024,(U),-3919243300877167705,,,https://www.youtube.com/watch?v=GeoFh01Ym_4,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,297,-,,🇺🇸,doogile,,🗙,9:14.089,9:15.601,11 Nov 2023,(U),2174062846577023263,,,https://www.youtube.com/watch?v=pUgJefjM1GA,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,298,-,,🇳🇴,skycrab1,,🗙,9:14.966,9:16.045,09 Jul 2024,(U),1846406805123780457,,,https://www.youtube.com/watch?v=6Yj7_cuk-uM&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=41,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,299,-,,🇸🇰,NoFear1337,,🗙,9:14.913,9:16.380,10 Feb 2024,(U),unknown,,,https://www.youtube.com/watch?v=5zSaBWQqr4U&list=PLaTJSsRuu2UeeWabBBfNVWALvnefBoL2C&index=6,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,300,-,,🇺🇸,Zylenox,,🗙,9:14.387,9:16.437,20 May 2023,(U),8905593962406892009,,,https://www.youtube.com/watch?v=hGU9t4TJ2m0,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,301,-,,🇨🇦,Aquacorde,,🗙,9:15.604,9:16.493,26 Jan 2024,(U),-1042044413178476719,,,https://www.youtube.com/watch?v=pAhnFo4AVnE,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,302,-,,🇳🇴,skycrab1,,🗙,9:16.645,9:16.645,17 Oct 2024,(U),6561585119955405427,,,https://www.youtube.com/watch?v=MkMf2lrPDJk&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=85,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,303,-,,🇺🇸,Infume,,✔,9:13.433,9:16.955,05 Nov 2023,(V),2006249756228583623,09,Yes,https://www.speedrun.com/mc/runs/yoo68gjy,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,304,-,,🇺🇸,doogile,,🗙,9:17.074,9:17.074,22 Sep 2024,(U),7208789671149948230,,,https://www.youtube.com/watch?v=GoOPg6uyw0M,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,305,-,,🇨🇦,NoHacsJustRoblox,,🗙,9:17.060,9:17.060,04 Oct 2024,(U),-7707972832259680714,,,https://www.youtube.com/watch?v=OErmac0MJfo,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,306,-,,🇸🇰,NoFear1337,,🗙,9:17.140,9:17.140,12 Dec 2022,(U),unknown,,,https://www.youtube.com/watch?v=6nhON_z_fUs,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,307,-,,🇩🇰,Bloopy,,🗙,9:17.397,9:17.397,31 Oct 2024,(U),-8999228905854836808,,,https://www.youtube.com/watch?v=3DH8mKGha0g,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,308,-,,🇺🇸,Zylenox,,🗙,9:10.985,9:17.522,15 May 2023,(U),-7323274319262585461,15,Yes,https://www.youtube.com/watch?v=EUYjJCqOPdc,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,309,-,,🇺🇸,Zylenox,,🗙,9:13.869,9:17.609,31 Jan 2023,(U),-7020151109902988040,15,Yes,https://www.youtube.com/watch?v=LFG9a3caV7M,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,310,-,,🇳🇴,skycrab1,,🗙,9:18.049,9:18.049,10 Oct 2024,(U),7717196540961604110,,,https://www.youtube.com/watch?v=zMUJ5AJmou8&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=80,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
